GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,RepositoryControllerAdvice,44,0,0,0,14,0,7,0,7,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,CSVDownloadController,20,0,0,0,6,0,2,0,2,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,HomeController,62,0,0,0,16,0,4,0,4,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,TutorAssignmentController,146,0,6,0,33,0,11,0,8,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,CourseOfferingController,143,0,10,0,37,0,15,0,10,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,TimeSlotController,98,0,2,0,24,0,10,0,9,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,RoomsController,123,0,4,0,29,0,13,0,11,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,CSVUploadController,34,0,2,0,11,0,3,0,2,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.controllers,TutorController,51,72,0,4,10,19,3,10,3,8
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,GithubOrgMembershipService,200,0,10,0,44,0,9,0,4,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,Application,58,0,0,0,19,0,3,0,3,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,TutorsToCSV,98,0,2,0,21,0,4,0,3,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,MembershipService,30,0,10,0,8,0,7,0,2,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,AuthControllerAdvice,46,0,6,0,9,0,10,0,7,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search,CSVToTutors,89,0,2,0,25,0,3,0,2,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,Rooms,41,0,0,0,16,0,9,0,9,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,TutorBean,38,0,0,0,17,0,11,0,11,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,CourseOffering,138,0,20,0,45,0,25,0,15,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,Tutor,29,58,0,0,10,21,4,11,4,11
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,TimeSlot,53,0,0,0,20,0,11,0,11,0
ucsb_courses_search,edu.ucsb.cs56.ucsb_courses_search.entities,TutorAssignment,85,0,14,0,30,0,16,0,9,0
